trial_id,label,t_verify_used,V_score,n_matches,sun_shift,blur_sigma,occl_frac,honest_tile,byzantine_tile,inference_ms
0,honest,0.3,1.0,20,15.0,0.0,0.0,tile_47.4010_8.5355_47.4065_8.5410.png,,289.8
1,honest,0.3,1.0,20,-15.0,0.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,7.9
2,honest,0.3,1.0,20,15.0,0.0,0.0,tile_47.3900_8.5410_47.3955_8.5465.png,,7.3
3,honest,0.3,1.0,20,-15.0,0.0,0.0,tile_47.3955_8.5630_47.4010_8.5685.png,,7.3
4,honest,0.3,1.0,20,15.0,0.0,0.0,tile_47.4065_8.5410_47.4100_8.5465.png,,7.0
5,honest,0.3,0.55,11,-15.0,1.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,,7.0
6,honest,0.3,0.35,7,-15.0,1.0,0.0,tile_47.4010_8.5355_47.4065_8.5410.png,,6.9
7,honest,0.3,1.0,20,-15.0,0.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,7.0
8,honest,0.3,0.6,12,-15.0,1.0,0.0,tile_47.4010_8.5630_47.4065_8.5685.png,,7.0
9,honest,0.3,0.1,2,0.0,1.0,0.0,tile_47.4065_8.5575_47.4100_8.5630.png,,6.9
10,honest,0.3,1.0,20,15.0,0.0,0.0,tile_47.3900_8.5575_47.3955_8.5630.png,,6.9
11,honest,0.3,0.7,14,15.0,1.0,0.0,tile_47.3955_8.5520_47.4010_8.5575.png,,7.8
12,honest,0.3,1.0,20,15.0,0.0,0.0,tile_47.3955_8.5630_47.4010_8.5685.png,,7.4
13,honest,0.3,1.0,20,0.0,0.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,7.0
14,honest,0.3,0.45,9,0.0,1.0,0.0,tile_47.4010_8.5685_47.4065_8.5700.png,,6.9
15,honest,0.3,0.75,15,-15.0,1.0,0.0,tile_47.3955_8.5575_47.4010_8.5630.png,,7.0
16,honest,0.3,0.65,13,15.0,1.0,0.0,tile_47.3955_8.5410_47.4010_8.5465.png,,7.1
17,honest,0.3,1.0,20,15.0,0.0,0.0,tile_47.4065_8.5575_47.4100_8.5630.png,,7.0
18,honest,0.3,0.35,7,0.0,1.0,0.0,tile_47.4010_8.5520_47.4065_8.5575.png,,7.0
19,honest,0.3,1.0,20,-15.0,0.0,0.0,tile_47.4010_8.5520_47.4065_8.5575.png,,6.9
20,honest,0.3,0.8,16,0.0,1.0,0.0,tile_47.3955_8.5575_47.4010_8.5630.png,,6.9
21,honest,0.3,0.75,15,15.0,1.0,0.0,tile_47.4065_8.5685_47.4100_8.5700.png,,7.0
22,honest,0.3,0.65,13,0.0,1.0,0.0,tile_47.4010_8.5300_47.4065_8.5355.png,,7.0
23,honest,0.3,1.0,20,-15.0,0.0,0.0,tile_47.4065_8.5465_47.4100_8.5520.png,,7.0
24,honest,0.3,0.75,15,15.0,1.0,0.0,tile_47.3955_8.5630_47.4010_8.5685.png,,6.9
25,honest,0.3,0.35,7,-15.0,1.0,0.0,tile_47.3900_8.5465_47.3955_8.5520.png,,6.9
26,honest,0.3,1.0,20,-15.0,0.0,0.0,tile_47.4065_8.5465_47.4100_8.5520.png,,6.9
27,honest,0.3,1.0,20,15.0,0.0,0.0,tile_47.4065_8.5300_47.4100_8.5355.png,,6.9
28,honest,0.3,0.55,11,15.0,1.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,,6.9
29,honest,0.3,1.0,20,15.0,0.0,0.0,tile_47.4010_8.5575_47.4065_8.5630.png,,6.9
30,honest,0.3,0.65,13,-15.0,1.0,0.0,tile_47.3955_8.5410_47.4010_8.5465.png,,6.9
31,honest,0.3,1.0,20,0.0,0.0,0.0,tile_47.3955_8.5465_47.4010_8.5520.png,,6.9
32,honest,0.3,1.0,20,15.0,0.0,0.0,tile_47.3955_8.5520_47.4010_8.5575.png,,6.9
33,honest,0.3,0.55,11,-15.0,1.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,,6.9
34,honest,0.3,0.45,9,15.0,1.0,0.0,tile_47.3900_8.5355_47.3955_8.5410.png,,7.0
35,honest,0.3,0.8,16,-15.0,1.0,0.0,tile_47.3955_8.5685_47.4010_8.5700.png,,6.9
36,honest,0.3,1.0,20,-15.0,0.0,0.0,tile_47.3900_8.5575_47.3955_8.5630.png,,6.9
37,honest,0.3,0.35,7,15.0,1.0,0.0,tile_47.3955_8.5300_47.4010_8.5355.png,,6.9
38,honest,0.3,0.65,13,-15.0,1.0,0.0,tile_47.4010_8.5300_47.4065_8.5355.png,,6.9
39,honest,0.3,0.7,14,15.0,1.0,0.0,tile_47.3955_8.5520_47.4010_8.5575.png,,6.9
40,honest,0.3,0.45,9,15.0,1.0,0.0,tile_47.4010_8.5685_47.4065_8.5700.png,,6.8
41,honest,0.3,0.85,17,0.0,1.0,0.0,tile_47.3955_8.5685_47.4010_8.5700.png,,6.8
